age,gender,marital_status,income,education_level,employment_status,credit_score,vehicle_age,vehicle_type,vehicle_price,policy_tenure,premium_amount,no_of_claims,accident_severity,region,fraudulent_flag,agent_rating,claim_amount,claim_approved
61,Male,Single,1006888,Graduate,Employed,871,1,Bike,2132944,5,4679,3,Low,South,0,5,4116,0
47,Female,Married,334706,High School,Unemployed,695,14,SUV,115590,9,18242,0,Low,West,0,4,37274,1
55,Male,Married,1822230,High School,Retired,707,14,Bike,471563,9,55092,0,Medium,East,0,2,81331,0
19,Female,Single,589078,High School,Unemployed,686,6,SUV,493740,4,78878,5,Low,East,0,2,96368,0
38,Female,Married,1269432,Graduate,Unemployed,833,2,Car,671309,3,47481,2,Low,East,0,2,50786,0
50,Male,Married,923355,High School,Self-Employed,640,6,Car,889128,5,17834,5,Medium,East,0,1,26190,0
29,Female,Married,957370,High School,Unemployed,838,5,SUV,2370880,2,13528,3,Low,North,0,3,25946,0
39,Female,Married,1738847,Graduate,Employed,513,4,Bike,1098451,2,16205,2,Low,North,0,4,26029,0
61,Female,Single,1833479,Graduate,Retired,696,9,Car,1979341,6,20437,5,Low,West,0,4,36358,0
42,Female,Divorced,545270,Graduate,Employed,343,13,Truck,1069176,5,7179,2,Low,West,0,1,17018,0
66,Female,Married,1322713,Graduate,Unemployed,891,8,Bike,1691168,9,73487,5,Low,East,0,2,128097,0
44,Female,Married,1055437,Graduate,Self-Employed,665,9,Car,1407295,4,6634,1,Low,West,0,5,11108,1
59,Female,Single,1142295,High School,Self-Employed,473,4,Bike,1234953,1,36017,0,Low,East,0,1,45079,0
45,Female,Divorced,724636,Graduate,Self-Employed,572,13,Bike,1755314,6,7645,0,Low,East,0,2,8780,0
33,Male,Married,1809283,High School,Unemployed,849,4,Truck,533744,8,65054,0,Low,East,0,1,101367,0
32,Male,Married,1644670,High School,Unemployed,870,7,SUV,706717,7,3941,3,Low,South,0,3,2076,0
64,Female,Single,998289,Graduate,Employed,789,6,Bike,525139,3,41231,1,Low,North,0,1,68125,0
68,Female,Single,303053,Graduate,Employed,481,0,Bike,1156166,4,41976,3,High,North,0,1,48976,0
61,Male,Married,375101,Graduate,Employed,395,9,Truck,1749853,5,49542,4,Low,South,0,2,101618,0
69,Female,Single,679130,Graduate,Employed,370,1,Bike,145608,3,75760,2,Low,North,0,2,58661,0
20,Male,Married,1967150,Postgraduate,Employed,610,3,Car,1079787,8,39466,2,High,East,0,4,76775,0
54,Male,Married,1445186,Graduate,Self-Employed,626,8,Bike,803635,9,42840,3,Low,East,0,3,59659,0
68,Male,Married,446877,Graduate,Employed,646,6,Car,2028862,7,20230,5,Medium,South,0,3,27146,0
24,Female,Single,1536378,Graduate,Unemployed,465,1,Truck,1609462,8,56822,3,Medium,North,0,4,33566,0
38,Female,Married,573142,High School,Employed,515,10,SUV,1840795,2,20582,2,Low,North,0,4,24437,0
26,Female,Married,542033,High School,Self-Employed,643,11,Car,624599,3,44178,1,Medium,South,0,4,104469,1
56,Male,Married,1970989,Graduate,Employed,360,7,Car,1322930,4,6090,1,Medium,East,0,2,3194,0
35,Male,Single,385070,High School,Unemployed,485,0,Car,815888,2,36142,5,Medium,North,0,3,28436,0
21,Male,Married,1488039,Graduate,Unemployed,663,7,Bike,855521,3,44000,5,Low,West,1,1,91153,0
42,Female,Married,325513,Graduate,Employed,481,4,Bike,829381,8,63708,5,Low,East,0,2,83615,0
31,Male,Married,1720503,Postgraduate,Employed,333,0,Bike,1607044,7,71234,5,Low,East,0,1,56627,0
67,Male,Single,644747,Postgraduate,Employed,704,2,SUV,1259115,6,76536,2,High,South,0,5,64827,0
26,Female,Married,848180,High School,Unemployed,856,10,Truck,282794,6,50552,4,Medium,South,0,2,37340,0
43,Male,Married,515560,Graduate,Self-Employed,437,12,Car,1387260,2,63855,3,Low,East,0,5,37539,0
19,Male,Married,1497159,High School,Self-Employed,327,12,Car,1135261,8,50075,0,Low,East,0,1,124361,0
37,Female,Single,1147871,High School,Employed,405,12,SUV,2200199,6,32510,4,Low,West,0,3,47957,0
45,Female,Single,348304,Graduate,Employed,456,6,Bike,2472137,5,38297,1,Low,North,0,2,39553,0
64,Male,Single,783336,High School,Employed,406,11,Car,2433323,5,66973,0,Low,East,0,3,103027,0
24,Female,Single,1220844,High School,Employed,532,6,Car,407239,2,60596,5,Medium,West,0,5,75114,0
61,Male,Divorced,1965373,Postgraduate,Employed,495,7,Car,2373952,2,37566,0,Medium,East,0,4,79990,0
25,Female,Married,1822221,Postgraduate,Employed,501,10,Car,102924,7,60151,5,Low,West,0,3,102280,0
64,Male,Divorced,1930404,Graduate,Self-Employed,408,12,Truck,813481,5,18270,4,Medium,East,0,2,39475,0
52,Female,Married,397128,Postgraduate,Employed,842,10,Bike,1557034,7,40115,4,Low,North,0,4,38966,0
31,Male,Married,449336,Graduate,Employed,340,3,Car,1536718,8,78535,3,Low,East,0,3,124265,0
34,Female,Single,745785,High School,Self-Employed,363,5,Car,756643,4,49776,4,Medium,East,0,2,51098,0
53,Female,Married,1100441,Graduate,Self-Employed,714,14,Car,2240587,5,3255,2,Low,South,0,4,3268,1
67,Female,Married,685679,Graduate,Self-Employed,671,11,Bike,2435323,1,61438,1,Medium,North,0,5,52921,1
57,Female,Married,1254834,High School,Employed,663,6,SUV,2021361,6,59094,3,Low,East,0,5,76994,0
21,Female,Single,518103,Postgraduate,Unemployed,535,7,Car,332628,1,10663,5,Low,East,0,3,20193,0
19,Female,Married,759190,Graduate,Retired,770,13,Truck,201410,3,35598,3,Low,West,0,1,53943,0
23,Female,Single,1788318,High School,Employed,799,2,SUV,2373302,3,18088,2,Low,North,0,2,44227,0
59,Male,Single,237606,High School,Employed,722,4,SUV,179899,7,48910,0,Low,West,0,3,50432,1
21,Male,Single,1693419,High School,Unemployed,878,7,Car,1195915,2,37027,4,Low,North,0,3,69636,0
46,Female,Married,1565689,Postgraduate,Retired,487,5,Car,1679990,9,37977,0,Low,West,1,1,47455,0
35,Female,Divorced,286465,Graduate,Employed,839,0,Bike,1153128,4,73536,5,Low,South,0,3,88041,0
43,Male,Married,682929,Graduate,Employed,702,1,Bike,1006194,6,68810,1,High,East,0,4,93863,0
61,Male,Married,1118289,Graduate,Unemployed,793,2,Car,1502349,6,12719,1,High,South,0,4,12467,0
51,Female,Married,1584399,Graduate,Employed,533,13,Truck,1791879,2,73815,3,Low,West,1,5,174679,0
27,Male,Single,1338204,Graduate,Retired,791,11,SUV,2103741,4,6083,4,High,South,0,1,7650,0
53,Male,Married,580929,Graduate,Employed,830,14,Car,1524214,2,47237,0,Medium,West,0,5,48539,1
31,Female,Married,213635,Postgraduate,Unemployed,611,6,SUV,1471744,1,19716,4,Low,East,0,4,33066,0
48,Female,Married,1849382,Postgraduate,Employed,412,12,Bike,735796,7,71169,5,Low,South,0,4,58901,0
65,Female,Married,1261985,Postgraduate,Employed,800,13,Car,739855,5,32920,3,Low,South,0,5,64523,0
32,Male,Single,1428404,Graduate,Retired,643,9,Car,1316553,5,63278,3,Medium,West,1,3,83079,0
25,Female,Single,218541,Postgraduate,Employed,657,2,Car,425423,3,15699,0,Low,North,0,5,24256,1
31,Female,Single,1306598,Graduate,Employed,425,8,Car,1273195,1,8268,4,Low,North,0,2,17910,0
40,Male,Married,269064,Postgraduate,Unemployed,381,8,Car,597813,3,79508,2,High,West,0,5,62730,0
57,Female,Married,367399,Postgraduate,Employed,551,11,Bike,1080478,9,48992,1,Medium,West,0,4,82040,0
38,Male,Divorced,1469702,Postgraduate,Employed,852,11,Car,521827,4,60119,1,Low,East,0,4,34146,1
33,Male,Married,1273522,Postgraduate,Employed,681,11,Car,2094056,5,68903,1,Low,East,1,4,89382,0
62,Male,Single,1870480,Graduate,Self-Employed,398,10,Car,469758,6,26381,5,High,East,0,2,58233,0
35,Male,Married,1378198,High School,Self-Employed,751,7,Car,2295134,9,31632,3,Low,West,0,1,61685,0
64,Male,Divorced,1142060,High School,Unemployed,894,8,Bike,2187789,5,54115,2,Low,South,0,3,112051,1
41,Male,Married,699658,Graduate,Self-Employed,323,7,Car,265302,7,58715,3,Low,South,0,5,78675,0
43,Female,Married,565589,High School,Employed,716,8,Bike,1888874,9,16646,0,Medium,South,0,3,24205,1
42,Female,Single,1101841,Graduate,Employed,652,3,Car,1839548,1,4935,4,Medium,North,0,2,10760,0
62,Female,Single,1900144,Graduate,Unemployed,372,3,Car,1024257,2,20804,4,Low,North,0,5,31463,0
58,Male,Married,577755,Graduate,Self-Employed,814,14,SUV,450257,5,59793,5,Low,North,0,1,100835,0
46,Female,Single,746063,Postgraduate,Retired,329,4,Bike,238827,5,45795,4,Low,West,0,4,100063,0
32,Male,Single,1469225,Graduate,Retired,749,6,Bike,2187851,9,47489,4,Low,East,0,4,101199,0
62,Female,Married,1118339,Graduate,Employed,779,8,Car,496533,7,63313,3,Low,South,0,2,62518,0
18,Male,Married,1693437,Graduate,Self-Employed,756,3,Bike,1168530,9,25736,4,Low,South,0,5,43110,0
42,Female,Married,628963,Postgraduate,Self-Employed,326,6,Truck,891042,7,29244,0,Low,West,0,2,26654,0
24,Male,Married,898645,High School,Employed,655,11,Car,466222,6,4589,2,Medium,East,0,4,2664,1
26,Female,Single,1162388,High School,Employed,318,11,Car,1689842,6,14747,3,Medium,South,0,1,10436,0
41,Male,Married,1754663,Postgraduate,Unemployed,827,5,Bike,996880,1,36388,0,Low,South,0,5,52315,1
18,Female,Married,1657896,Graduate,Self-Employed,569,12,Car,1221482,7,9765,0,High,West,0,3,22239,0
61,Male,Married,214927,Graduate,Self-Employed,858,8,Truck,755363,4,51122,1,Low,East,0,1,74371,0
25,Female,Married,1384169,Graduate,Self-Employed,445,8,Bike,755316,3,56668,2,High,South,0,1,42637,0
41,Female,Married,506230,High School,Unemployed,841,8,Car,1644875,1,21502,1,Low,North,0,2,16879,0
28,Female,Married,1393928,Graduate,Employed,448,4,Car,2426079,7,65546,4,Medium,South,0,2,114135,0
68,Male,Married,263266,High School,Self-Employed,859,2,Car,2497688,9,70177,0,Low,South,0,3,155615,1
34,Male,Divorced,1230584,Graduate,Employed,482,12,Car,1872728,1,35975,1,Low,North,1,5,41024,0
25,Male,Married,1410401,Graduate,Unemployed,341,14,Bike,1258911,2,37998,5,Medium,West,0,4,60795,0
52,Male,Single,382600,Graduate,Self-Employed,464,5,Car,1416918,4,54519,0,Medium,North,0,4,124558,0
52,Male,Married,1755276,Graduate,Retired,393,1,Car,1670802,9,50939,5,High,West,0,2,38966,0
50,Female,Married,1691397,Postgraduate,Employed,513,6,Car,1620397,8,79933,4,Low,East,0,4,64986,0
22,Male,Married,1186499,Graduate,Retired,487,13,SUV,2318552,1,79805,4,Medium,North,0,1,100104,0
59,Female,Married,819259,Postgraduate,Unemployed,387,14,Car,133842,4,38762,2,High,South,0,1,54533,0
56,Female,Divorced,1407725,Graduate,Self-Employed,757,12,Car,664204,9,32713,5,Low,North,0,5,31371,0
58,Male,Divorced,449307,Graduate,Employed,771,6,Car,1798934,2,79066,4,Low,West,1,5,126443,0
45,Female,Single,922044,High School,Employed,353,1,Car,529832,2,46036,2,Low,South,0,1,105706,0
24,Male,Single,1679137,High School,Unemployed,671,14,Truck,962767,6,75428,4,High,South,0,5,171158,0
26,Male,Married,1953209,Graduate,Self-Employed,816,5,Bike,2467079,6,54382,4,Medium,East,0,4,33923,0
25,Male,Married,613218,High School,Employed,664,3,Car,465255,6,57971,5,High,West,0,3,98959,0
29,Female,Divorced,1179524,Graduate,Self-Employed,336,6,Truck,612977,1,33267,2,Low,East,0,1,30941,0
51,Male,Single,510584,Graduate,Self-Employed,418,7,Car,533175,9,38215,1,Medium,South,0,2,69862,0
50,Male,Single,1156902,Postgraduate,Employed,708,9,SUV,289744,2,41807,3,Low,West,0,5,68441,0
65,Male,Married,1439164,Postgraduate,Employed,662,12,Bike,831943,7,54871,1,Low,North,0,1,51987,0
40,Female,Married,795754,High School,Employed,668,10,Bike,1050522,1,19967,4,Low,South,0,3,47561,0
41,Male,Divorced,1243090,High School,Employed,452,0,Bike,320484,1,70827,0,Medium,West,0,2,102465,0
54,Female,Married,1065356,Graduate,Employed,622,4,SUV,970466,9,5420,3,Low,South,0,4,6958,0
52,Female,Married,321411,High School,Unemployed,593,8,Bike,2394252,7,62890,4,Low,East,0,4,131008,0
61,Male,Married,1826829,High School,Employed,779,13,Car,2204404,5,42452,2,High,West,0,4,46495,0
57,Female,Single,743979,Postgraduate,Employed,777,1,Car,832534,3,47216,0,Low,East,1,4,79495,0
39,Female,Married,743489,Postgraduate,Employed,747,3,Car,792865,8,41049,3,Low,East,0,2,37317,0
44,Male,Single,1518141,Graduate,Retired,429,7,Bike,1829998,1,58186,3,Low,West,0,3,36220,0
52,Male,Married,829639,Graduate,Employed,641,11,Car,1569370,8,8455,3,Low,West,0,5,12654,0
18,Male,Single,1131058,Graduate,Retired,566,4,Car,1938425,4,63073,0,Low,West,0,3,52070,0
52,Female,Single,652044,Graduate,Employed,637,7,Bike,2133741,2,33698,5,Medium,East,0,2,41158,0
54,Male,Married,650836,Graduate,Employed,774,14,Bike,105543,7,52530,0,Low,West,1,2,76294,0
64,Female,Single,533268,Graduate,Self-Employed,714,9,Car,2390367,4,75805,2,Medium,West,0,4,38801,1
31,Female,Married,813595,High School,Self-Employed,590,9,Car,1434023,4,26881,0,Low,East,0,4,32166,0
20,Female,Married,1077792,Postgraduate,Unemployed,471,0,Car,308645,6,12814,0,Low,South,0,5,17798,0
18,Female,Single,444636,Graduate,Unemployed,738,13,Car,1135865,2,49673,1,Medium,East,0,3,78997,1
22,Female,Married,1847716,Graduate,Employed,600,6,Bike,1922521,5,43436,2,Low,West,0,5,94715,0
43,Male,Married,1046677,Postgraduate,Self-Employed,448,5,Car,2105730,9,61808,2,Medium,South,1,5,71262,0
31,Male,Married,1094585,High School,Self-Employed,564,1,SUV,528984,3,68290,3,Medium,South,1,1,160101,0
56,Female,Married,1487897,High School,Unemployed,394,6,Car,820154,4,19167,4,Low,North,0,1,22477,0
44,Female,Single,245562,Postgraduate,Employed,716,2,Car,593402,3,62276,3,Low,South,0,1,101440,0
26,Male,Married,359306,Postgraduate,Employed,556,3,Truck,315658,7,12112,2,Low,West,0,3,7946,0
32,Male,Divorced,1596042,Graduate,Self-Employed,814,13,Bike,433380,3,49079,5,Low,South,1,4,64011,0
32,Female,Divorced,433708,High School,Retired,649,10,Car,1723399,7,56800,2,Low,South,1,3,116739,0
43,Female,Married,1657121,Graduate,Employed,504,5,SUV,434589,5,70295,4,Low,North,0,1,76901,0
59,Male,Married,608914,High School,Employed,643,2,Car,562890,3,40844,4,Medium,South,0,2,21335,0
30,Male,Single,1470511,Graduate,Employed,764,0,Truck,1811394,1,52010,4,Medium,North,0,4,122590,0
68,Female,Married,1951545,High School,Unemployed,838,9,Car,1127466,5,11507,4,Medium,East,0,3,5911,0
49,Male,Married,1527268,Postgraduate,Employed,328,0,SUV,2259589,9,62612,3,Medium,West,0,1,64661,0
56,Male,Married,455644,Graduate,Employed,675,5,Car,1866629,4,41753,0,Medium,East,0,1,96215,0
66,Female,Single,789522,Postgraduate,Self-Employed,404,3,Truck,2260949,9,23356,3,Medium,East,0,2,18104,0
69,Female,Single,1266916,High School,Employed,633,6,Bike,1459153,3,7837,4,Low,East,0,4,17389,0
49,Female,Married,793684,High School,Employed,368,8,Car,1731733,8,70682,3,Low,West,0,1,170486,0
21,Male,Married,1407513,Postgraduate,Employed,406,13,SUV,2290724,5,19040,3,Low,West,0,2,33247,0
47,Female,Divorced,431144,High School,Employed,401,7,Car,1030148,6,73784,3,Low,East,0,2,85949,0
54,Male,Single,915127,Graduate,Employed,561,2,SUV,2063206,4,57351,4,Low,South,0,4,64056,0
40,Female,Single,1917679,High School,Employed,851,6,Bike,1419816,6,23568,4,Low,East,0,1,18319,0
56,Female,Single,402834,Graduate,Employed,588,0,SUV,1085003,3,77791,4,Medium,North,0,1,179191,0
62,Male,Married,802542,High School,Unemployed,436,1,Car,1257866,7,45243,1,Low,North,0,4,94454,0
32,Male,Single,834480,Graduate,Employed,789,8,Truck,2083003,4,15195,5,Medium,South,0,4,14380,0
60,Female,Married,960285,Graduate,Self-Employed,366,9,Bike,2264363,5,34412,0,Low,East,0,5,63221,0
46,Female,Married,1167438,Graduate,Employed,450,7,Car,241643,6,4930,2,Low,East,0,2,8307,0
53,Male,Single,1375234,High School,Employed,577,14,Car,1983336,5,63217,1,Low,East,0,4,49463,0
30,Female,Married,1509040,Graduate,Unemployed,511,6,SUV,1174851,2,71369,1,Medium,South,0,4,69692,0
49,Male,Divorced,388044,Graduate,Employed,649,10,SUV,484480,4,56489,1,Low,East,0,4,43521,1
24,Male,Married,1536250,High School,Employed,446,9,Bike,812257,8,36046,1,High,South,0,2,56882,0
68,Female,Divorced,1438984,Graduate,Unemployed,664,1,Car,239404,8,55587,3,Medium,South,0,4,49325,0
39,Male,Divorced,783291,Postgraduate,Self-Employed,527,14,Car,1469868,7,17916,1,Low,South,0,2,44201,0
45,Male,Married,1101839,High School,Unemployed,589,13,Bike,1407290,2,41992,0,Medium,West,0,2,44173,0
19,Male,Single,1315762,Graduate,Self-Employed,629,1,Car,1833543,4,63940,4,Medium,West,0,3,124409,0
59,Female,Married,1289229,Graduate,Employed,694,6,Car,1047282,9,68091,2,Low,North,0,5,78516,1
62,Male,Divorced,592647,High School,Retired,854,6,Bike,1563637,6,39537,5,Low,North,1,5,48040,0
23,Female,Married,973621,High School,Retired,438,5,Car,894803,8,70050,0,Low,West,0,5,78621,0
45,Female,Single,1506002,Graduate,Employed,723,9,Car,862034,9,28309,1,Medium,West,0,4,20289,1
45,Female,Married,1426680,Graduate,Unemployed,552,11,Car,2076833,5,13157,4,Medium,East,0,5,30986,0
61,Male,Married,777823,High School,Employed,715,4,Bike,2391851,5,78662,1,Low,West,0,3,161864,1
61,Male,Married,1093270,Postgraduate,Self-Employed,806,5,Bike,2404736,9,11517,2,Low,East,0,2,11217,0
37,Female,Married,1598993,Graduate,Employed,645,11,SUV,475963,6,41105,1,Medium,South,1,4,45829,0
47,Female,Single,1964463,High School,Self-Employed,876,8,Bike,2282105,7,79535,3,Low,South,0,4,109934,0
28,Male,Single,456653,Graduate,Employed,479,3,Car,174648,8,61200,5,Low,North,0,3,125415,0
45,Female,Single,1661296,Postgraduate,Self-Employed,513,11,SUV,1510267,8,41345,3,Medium,East,0,2,93141,0
42,Female,Married,1823839,High School,Employed,737,9,Bike,2263691,3,15727,1,Low,East,0,5,32015,1
56,Male,Married,417418,Graduate,Employed,779,0,Truck,1714746,5,47115,4,Low,East,0,2,113081,0
50,Female,Married,1015468,Graduate,Self-Employed,452,8,Truck,965643,1,10558,5,Medium,North,0,2,21351,0
18,Male,Single,1756490,High School,Unemployed,712,7,Bike,630466,3,21990,2,Low,West,1,1,20844,0
44,Male,Divorced,1591803,High School,Employed,422,10,Truck,1185792,2,37459,1,Low,South,0,5,47089,0
69,Female,Married,778044,High School,Unemployed,893,1,Car,1989280,2,79240,2,Low,South,0,4,157283,1
30,Male,Married,817027,High School,Employed,878,3,Car,409152,2,26834,1,Low,East,0,3,20209,1
58,Male,Married,1110780,High School,Unemployed,542,2,Car,1773956,1,47497,5,Low,South,0,2,45574,0
20,Male,Single,471449,Postgraduate,Self-Employed,605,2,Bike,2249550,6,71691,2,Low,West,0,1,176653,0
56,Female,Single,667565,Postgraduate,Unemployed,435,5,Bike,1639184,4,21817,1,Low,East,0,4,39919,0
23,Female,Single,528580,High School,Self-Employed,458,6,Truck,992636,2,63053,3,High,North,0,3,54001,0
25,Female,Married,465891,Graduate,Self-Employed,451,7,Bike,1014477,5,56777,1,Low,West,0,5,38864,0
44,Male,Single,376096,High School,Employed,755,6,SUV,1255857,2,28927,3,Medium,East,0,4,70138,0
26,Male,Single,905983,High School,Retired,853,14,SUV,251542,8,75478,4,Medium,West,0,5,113028,0
54,Female,Married,1533965,High School,Unemployed,633,11,Bike,1641096,4,55606,1,Medium,East,0,5,74613,1
50,Female,Married,700038,High School,Employed,762,14,Car,1945946,5,31090,2,Low,South,0,1,65066,0
68,Male,Married,658825,Postgraduate,Employed,768,8,SUV,2383131,8,64931,4,Low,North,0,2,119371,0
59,Female,Married,314938,High School,Unemployed,325,1,Bike,1146862,6,57103,3,Medium,West,0,5,92287,0
61,Female,Single,1447681,Graduate,Retired,465,9,SUV,974939,1,10523,4,Low,West,0,1,10078,0
41,Female,Married,1671369,High School,Employed,665,3,Bike,433934,6,50987,1,High,East,0,1,82118,0
32,Female,Single,652962,High School,Retired,738,14,Car,1675688,1,41435,0,Medium,East,0,3,65493,1
49,Female,Single,1728340,Postgraduate,Employed,396,1,Car,975291,6,11121,1,Low,West,0,1,7817,0
49,Male,Married,339559,High School,Retired,693,12,Car,694497,7,23591,3,High,South,1,4,35446,0
41,Female,Single,1166953,Postgraduate,Self-Employed,766,14,Car,1750388,6,3176,4,Low,West,0,5,5415,0
58,Female,Married,1081991,High School,Employed,566,10,SUV,1778666,4,5968,0,High,South,0,1,11708,0
69,Male,Married,945773,Graduate,Employed,422,2,Bike,2450185,4,5247,5,Low,West,0,5,8451,0
66,Male,Married,769855,Postgraduate,Self-Employed,834,12,Car,1917295,2,22015,5,Medium,East,0,5,35670,0
66,Male,Married,1444497,High School,Self-Employed,497,9,Car,908250,2,74341,5,Low,South,0,2,121447,0
69,Male,Married,1503112,Graduate,Retired,340,0,Bike,380423,7,79073,2,Low,North,0,4,82342,0
29,Female,Married,403125,Graduate,Unemployed,420,13,Car,187075,8,32052,4,Low,North,0,1,72163,0
56,Female,Married,965480,High School,Self-Employed,724,7,Car,1389428,6,14345,4,Low,East,0,5,24895,0
19,Female,Married,1508803,Graduate,Retired,303,4,Car,623591,6,6007,1,Low,West,0,4,11206,0
20,Female,Divorced,1364898,High School,Self-Employed,554,4,Bike,2229643,7,36312,2,Low,West,0,2,54660,0
66,Male,Married,1369293,High School,Unemployed,767,7,Truck,1045710,3,75230,0,Low,North,0,3,59666,1
54,Male,Single,1224052,High School,Unemployed,482,14,Truck,630016,2,79677,4,High,South,0,2,65332,0
66,Female,Married,860975,Postgraduate,Retired,406,14,Bike,318343,4,46398,1,Medium,South,0,1,65895,0
34,Female,Single,1848868,High School,Employed,798,10,Bike,1594429,2,34849,1,Medium,West,0,1,78139,0
66,Female,Married,997311,High School,Self-Employed,746,8,Bike,963694,7,50021,0,Low,South,0,5,37130,1
19,Female,Divorced,1083923,Graduate,Employed,476,8,Car,1752526,9,22010,2,Low,North,0,4,33137,0
19,Male,Married,383068,High School,Employed,371,9,Car,1836827,7,33114,2,Medium,South,0,2,19187,0
45,Female,Single,606294,Graduate,Employed,369,8,Car,1158538,5,17142,1,Low,East,0,4,38460,0
40,Male,Married,1958711,High School,Unemployed,880,1,Car,861525,3,12126,2,High,South,0,5,12404,0
54,Male,Married,728878,Graduate,Employed,422,6,Car,416121,1,65093,2,Low,North,0,3,78282,0
49,Male,Single,909460,Graduate,Employed,691,6,Bike,2078767,1,69449,1,Medium,South,0,1,57524,0
50,Male,Married,1521630,High School,Employed,526,3,Car,2126779,3,72467,4,Low,North,0,4,81702,0
18,Female,Married,1227935,High School,Employed,667,4,Car,1148745,4,76381,4,Low,West,1,1,98214,0
36,Female,Married,1411624,Graduate,Self-Employed,757,13,Bike,1843833,5,12366,5,Low,South,0,5,10136,0
19,Female,Single,1532294,Graduate,Employed,482,5,Bike,1507070,9,37492,2,Medium,South,0,3,39877,0
61,Female,Divorced,1944588,High School,Employed,526,6,Car,2408049,2,64518,1,Medium,South,0,2,120593,0
43,Male,Married,681468,High School,Self-Employed,371,12,SUV,1998291,4,65835,4,Low,North,1,4,147109,0
49,Male,Single,233430,High School,Employed,811,1,Bike,1071451,3,34452,5,Medium,North,0,1,61877,0
23,Male,Married,1300815,Graduate,Employed,307,9,Car,2446290,8,36253,5,Low,North,0,3,87931,0
49,Female,Married,1040345,Postgraduate,Unemployed,371,1,Truck,751396,1,6978,4,Medium,South,0,1,6919,0
21,Male,Divorced,1085404,High School,Unemployed,345,14,Car,829151,1,28295,5,High,North,0,1,34606,0
28,Male,Single,555420,High School,Employed,449,12,Bike,324522,9,66355,1,Medium,West,0,5,76846,0
34,Male,Single,602693,High School,Employed,892,1,Car,1506176,1,10723,0,Low,East,0,3,16731,1
55,Male,Married,1825636,High School,Retired,781,12,Car,2187427,4,12445,5,Medium,South,0,5,23968,0
41,Female,Married,1314272,Graduate,Employed,708,13,Car,1737167,8,60714,2,High,East,0,5,56079,0
22,Male,Married,1947294,Postgraduate,Self-Employed,474,14,Bike,1204928,4,29078,2,Low,West,1,4,62478,0
69,Male,Married,375277,High School,Self-Employed,726,4,Bike,1642868,5,6652,5,Medium,South,0,2,7833,0
51,Female,Married,1704168,Graduate,Unemployed,536,5,Truck,2010466,2,25900,4,Medium,East,0,2,36927,0
23,Female,Single,413009,High School,Retired,894,14,Bike,834576,9,61883,1,Medium,East,0,5,134412,1
39,Female,Single,1611557,Postgraduate,Employed,439,10,Truck,2114615,9,58801,3,Low,East,0,5,67954,0
28,Male,Married,1664686,Graduate,Employed,363,14,Car,2454753,3,19857,5,Low,West,0,1,36546,0
65,Male,Married,390991,High School,Self-Employed,578,5,Car,1022206,8,20261,3,Medium,West,0,1,28917,0
33,Male,Single,704679,Postgraduate,Retired,349,2,Car,2253030,9,8243,1,Low,South,1,3,8629,0
